PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
8;2023;729;2;6;1;2;0;1;0;0;0;0;69;1;15;68;40;2;0;2;0;4658;761;398;0;0
73;2023;10;0;4;3;1;0;2;0;0;0;0;60;0;6;15;7;3;0;2;4;1588;130;618;0;0
130;2023;15;0;7;1;2;0;-1;0;0;0;0;58;0;10;29;20;5;4;0;1;4570;476;0;0;0
201;2023;482;22;5;1;3;16;5;0;1;0;0;71;0;11;65;38;1;0;2;3;4374;594;966;0;0
258;2023;3797;193;6;3;1;11;-3;0;0;0;0;61;0;13;19;8;14;2;2;3;4525;343;763;0;0
262;2023;830;7;3;0;0;2;-1;0;0;0;0;73;0;3;40;20;3;1;3;3;3001;0;508;0;0
278;2023;519;5;4;1;1;0;-2;0;0;0;0;57;0;4;16;6;0;1;2;2;1916;0;57;0;0
299;2023;3;0;7;0;0;2;-5;0;0;0;0;60;0;9;0;0;13;2;4;17;7034;161;754;0;0
301;2023;3795;193;5;5;3;6;0;4;2;0;0;75;0;22;11;8;5;1;1;2;2717;2954;72;0;0
402;2023;519;5;4;1;0;0;0;0;0;0;0;53;0;4;2;1;2;0;1;1;2898;62;421;0;0
447;2023;713;15;6;0;1;2;-2;0;0;0;0;65;0;5;0;0;5;0;2;4;5792;317;479;0;0
467;2023;574;3;2;0;1;0;1;0;0;0;0;67;0;1;4;1;7;1;0;1;1436;357;107;0;0
469;2023;500;23;7;1;1;0;0;0;0;0;0;69;1;13;73;39;15;3;3;5;5564;570;538;0;0
479;2023;751;2;4;0;0;0;0;0;0;0;0;57;0;6;1;1;0;1;0;2;1674;170;49;0;0
509;2023;11;0;7;1;0;0;0;0;0;0;0;62;1;10;30;12;13;8;5;5;4498;0;1382;0;0
520;2023;5;0;3;0;0;2;-1;0;0;0;0;67;0;1;1;0;13;1;1;0;1656;85;22;0;0
579;2023;781;8;7;0;1;14;-1;0;0;0;0;59;0;3;0;0;7;1;1;4;5532;6;503;0;0
604;2023;516;5;3;2;3;0;1;2;1;0;0;71;0;15;6;2;1;0;0;0;2507;439;314;0;0
643;2023;17;0;4;0;2;0;-5;0;1;0;0;65;0;5;0;0;8;1;1;0;3679;470;0;0;0
671;2023;12;0;6;1;0;0;-3;0;0;0;0;69;0;7;2;0;10;5;2;5;5258;763;0;0;0
678;2023;9;0;7;1;1;0;-9;0;0;0;0;55;0;13;6;1;15;6;1;2;6667;96;367;0;0
697;2023;711;15;2;2;0;0;2;0;0;0;0;66;0;3;11;3;1;0;0;0;1091;21;122;0;0
778;2023;837;7;6;1;1;0;4;0;0;0;0;70;0;9;77;40;11;2;3;1;4878;21;798;0;0
807;2023;5;0;5;0;1;0;1;0;0;0;0;60;0;9;0;0;4;1;2;12;5224;251;180;0;0
829;2023;511;5;6;2;4;4;9;1;0;0;1;65;0;10;49;24;3;0;1;2;3891;514;336;0;0
837;2023;14;0;7;0;3;0;3;0;0;0;0;64;0;2;0;0;15;1;5;9;6856;180;251;0;0
864;2023;875;4;7;0;2;2;4;0;0;0;0;62;0;11;0;0;4;1;1;15;6220;9;1272;0;0
899;2023;713;15;6;1;1;2;-1;0;0;0;0;71;0;12;12;6;8;2;0;4;5088;1324;260;0;0
975;2023;830;7;3;1;0;2;0;0;0;0;0;67;0;7;0;0;1;1;0;1;2791;392;264;0;0
1253;2023;61;1;1;0;0;0;1;0;0;0;0;72;0;4;0;0;1;0;1;1;852;0;104;0;0
2522;2023;459;29;3;1;2;0;2;0;1;0;0;62;1;6;13;7;2;1;1;1;1611;221;0;0;0
3169;2023;784;8;7;1;4;0;2;0;0;0;0;60;0;7;28;13;9;3;2;2;4464;0;1204;0;0
3197;2023;4839;32;1;0;0;0;-1;0;0;0;0;69;0;3;0;0;2;0;0;1;904;184;184;0;0
4518;2023;3795;193;4;1;1;4;0;0;1;0;0;61;0;6;1;0;5;3;0;4;2730;787;1588;0;0
5149;2023;3795;193;5;0;0;28;0;0;0;0;0;59;0;2;0;0;15;3;0;4;4005;60;689;1;1
5177;2023;4635;193;3;0;1;0;2;0;0;0;0;72;0;4;0;0;2;1;0;4;2144;659;655;0;0
5587;2023;1838;6;6;0;1;2;-3;0;0;0;0;65;0;8;54;27;6;1;4;8;4873;577;1120;0;0
9566;2023;646;6;3;0;0;0;-2;0;0;0;0;52;0;2;23;11;1;2;0;2;1225;9;340;0;0
9583;2023;635;6;2;0;0;0;-1;0;0;0;0;50;0;2;0;0;0;1;1;0;833;0;0;0;0
9929;2023;778;8;6;1;1;2;1;0;0;0;0;56;0;11;19;6;2;1;1;0;4685;226;699;0;0
9944;2023;776;8;7;0;1;2;-2;0;0;0;0;51;0;6;0;0;4;2;1;1;3883;0;397;0;0
10159;2023;1931;59;7;1;3;4;-2;1;0;0;0;65;1;7;4;0;2;1;1;1;3500;1341;32;0;0
10340;2023;834;7;1;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;217;0;120;0;0
10342;2023;828;7;3;1;2;2;1;0;0;0;1;65;0;5;0;0;7;1;0;0;3273;0;474;0;0
10412;2023;515;5;3;0;0;0;0;0;0;0;0;55;0;2;0;0;4;1;0;1;614;124;535;0;0
10442;2023;1876;83;7;0;3;2;5;0;1;0;0;69;0;4;0;0;9;0;4;4;6612;633;610;0;0
10459;2023;1426;247;7;3;5;11;2;1;2;0;0;67;0;25;4;3;11;3;0;7;5671;1190;198;1;1
10507;2023;2193;5;7;1;3;4;5;0;1;0;0;66;1;13;65;30;11;2;1;2;5335;900;15;0;0
10579;2023;514;5;3;0;1;0;1;0;0;0;0;58;0;0;0;0;2;0;0;3;1206;34;326;0;0
10580;2023;1861;83;6;2;3;0;2;0;0;2;0;57;0;8;88;56;8;1;0;3;4649;144;751;0;0
10631;2023;1871;83;7;2;0;4;-1;0;0;0;0;60;0;10;45;25;2;1;0;5;4654;12;1203;0;0
10642;2023;516;5;2;0;1;0;0;0;0;0;0;60;0;2;0;0;0;0;0;0;1207;0;301;0;0
10685;2023;1453;247;6;1;3;2;-1;0;1;0;0;71;0;13;88;60;6;3;4;7;5609;124;584;0;0
10707;2023;1827;62;6;1;1;4;2;1;1;0;0;65;0;9;8;3;5;3;0;1;5545;1169;0;0;0
10729;2023;517;83;5;0;2;2;-1;0;0;0;0;61;0;6;51;21;9;0;1;4;3319;0;607;0;0
10860;2023;567;59;4;0;3;0;0;0;0;0;0;60;0;5;49;26;3;0;0;3;2558;34;73;0;0
11063;2023;1872;83;6;0;1;0;2;0;0;0;0;60;0;7;64;31;4;1;1;1;3838;119;843;0;0
11073;2023;577;3;5;1;3;0;2;0;0;0;0;57;1;7;60;31;4;2;2;1;2930;0;1106;0;0
11147;2023;740;2;1;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;1;360;0;175;0;0
11199;2023;3737;8;7;2;1;0;2;0;0;0;0;66;0;21;5;3;2;2;2;3;6542;2194;32;0;0
11204;2023;729;2;5;0;0;2;2;0;0;0;0;59;0;3;0;0;3;0;3;1;3033;291;138;0;0
11253;2023;628;6;4;1;0;4;-1;0;0;0;0;55;0;5;5;3;1;1;0;0;1801;556;0;0;0
11281;2023;717;20;4;1;1;2;0;0;1;0;0;72;0;7;11;5;5;0;2;2;3864;497;611;0;0
11357;2023;519;5;4;3;2;4;1;2;1;0;0;76;0;12;77;39;4;1;5;3;3417;950;135;0;0
11363;2023;503;23;7;1;1;4;2;0;0;0;0;62;0;11;32;10;3;2;5;3;6109;213;966;0;0
11389;2023;742;2;6;2;1;0;0;0;0;0;0;63;1;10;6;4;9;1;2;2;5717;602;185;0;0
11472;2023;1503;54;7;2;1;8;1;0;0;0;0;68;0;11;89;41;10;3;1;15;6523;64;698;0;0
11502;2023;4989;54;5;4;2;0;2;1;0;0;0;65;3;22;1;0;4;1;1;1;4762;849;0;0;0
11603;2023;3795;193;5;0;4;11;2;0;1;0;0;69;0;5;1;1;12;0;0;1;3332;971;144;1;0
11753;2023;780;8;7;1;0;20;-4;0;0;0;0;64;0;5;0;0;10;0;2;3;5811;339;1084;0;0
12287;2023;835;7;5;0;1;2;1;0;0;0;0;57;0;1;0;0;4;0;2;1;2097;0;269;0;0
13475;2023;1429;247;5;1;1;2;0;0;0;0;0;61;0;5;19;10;10;5;2;8;3852;166;629;0;0
13485;2023;1430;247;4;2;2;0;1;2;1;0;0;69;1;8;0;0;3;3;1;6;3899;749;431;0;0
13556;2023;1427;247;6;5;3;11;4;0;0;0;0;69;0;17;94;50;8;3;0;7;5321;88;526;1;0
13723;2023;846;66;7;0;1;0;0;0;0;0;0;48;0;4;0;0;1;2;0;1;3444;0;613;0;0
14043;2023;888;48;5;2;2;0;2;0;0;0;0;65;0;10;8;2;5;3;6;2;4668;0;390;0;0
14057;2023;4838;0;7;1;0;2;0;0;0;0;0;59;0;4;29;16;3;0;4;2;3326;23;189;0;0
16678;2023;891;48;4;0;2;0;0;0;1;0;0;59;0;4;3;3;8;2;0;1;1403;869;0;0;0
17542;2023;2319;16;7;1;3;0;0;0;0;0;1;68;0;15;126;65;9;1;1;3;7198;576;242;0;0
20411;2023;1430;247;6;2;3;2;-1;1;2;0;0;60;0;10;10;7;3;0;1;0;5049;359;0;0;0
20523;2023;457;29;3;0;2;4;-3;0;0;0;0;49;0;3;0;0;3;0;1;0;2713;1;306;0;0
21198;2023;1827;62;7;2;3;2;-1;1;1;0;0;60;0;10;48;31;2;1;0;2;3640;1105;49;0;0
22974;2023;2162;134;6;0;2;2;-1;0;0;0;0;67;0;5;0;0;5;3;3;6;4728;62;457;0;0
23038;2023;2162;134;6;1;3;2;3;0;0;0;0;64;0;5;8;5;7;2;1;5;4862;829;35;0;0
24442;2023;459;29;4;4;2;6;11;0;0;0;0;64;0;13;0;0;9;1;2;0;4249;159;491;0;0
26432;2023;3797;193;2;0;1;7;-2;0;1;0;0;75;0;5;10;5;4;1;2;0;1196;1175;0;1;1
26876;2023;777;8;3;0;0;0;-2;0;0;0;0;62;0;2;0;0;2;0;1;1;2221;88;278;0;0
28460;2023;911;54;5;1;0;2;0;0;0;0;0;53;1;2;42;29;4;1;0;0;2670;0;285;0;0
32487;2023;1472;83;7;0;1;2;-2;0;0;0;0;58;0;8;14;4;2;0;2;3;5026;49;785;0;0
32782;2023;517;83;4;0;2;0;1;0;0;0;0;59;0;2;0;0;4;0;0;2;1699;0;396;0;0
32794;2023;1430;247;6;4;3;2;1;1;2;0;0;67;0;16;13;7;9;3;3;6;5286;1177;0;0;0
33444;2023;498;23;3;1;0;0;0;0;0;0;0;61;1;4;6;2;0;1;1;3;1550;108;0;0;0
34811;2023;1861;83;6;2;2;2;2;0;1;0;0;61;0;7;68;35;2;0;2;2;2573;1596;21;0;0
35892;2023;25;0;4;1;2;0;4;0;0;0;0;62;0;3;13;6;7;4;2;1;2142;0;590;0;0
47217;2023;80;10;1;0;0;0;0;0;0;0;0;48;0;2;0;0;0;2;0;1;845;0;271;0;0
51757;2023;1527;33;1;1;0;2;0;0;0;0;0;54;0;2;1;0;0;0;0;0;751;0;43;0;0
57042;2023;1453;247;6;0;4;11;2;0;0;0;0;68;0;9;11;7;9;0;1;3;4445;0;378;1;0
58219;2023;682;22;6;1;0;2;0;0;0;0;0;56;0;3;0;0;0;1;0;2;2262;27;369;0;0
75533;2023;1086;29;3;0;1;2;0;0;0;0;0;57;0;1;4;0;1;0;0;1;1473;0;287;0;0
77439;2023;459;29;4;0;0;8;0;0;0;0;0;60;0;3;0;0;15;0;1;5;3531;104;772;0;0
77689;2023;1425;247;7;0;0;0;-1;0;0;0;0;52;0;5;25;9;2;0;0;1;3043;82;0;0;0
79285;2023;2579;29;3;0;2;2;1;0;0;0;0;64;0;4;21;7;4;0;1;1;1499;232;162;0;0
79288;2023;456;29;4;1;3;0;2;0;1;0;0;64;0;10;8;2;2;2;0;1;3492;649;38;0;0
79294;2023;4989;54;6;1;2;0;0;0;1;0;0;68;0;21;0;0;3;4;0;0;5200;946;0;0;0
79363;2023;711;15;3;0;1;0;-1;0;0;0;0;62;0;6;4;3;2;0;1;1;2376;105;249;0;0
79369;2023;839;7;7;0;1;0;3;0;0;0;0;70;0;14;0;0;8;4;2;15;7194;191;1034;0;0
79375;2023;4742;247;5;0;1;4;-1;0;0;0;0;56;0;6;0;0;7;1;0;4;5009;49;466;0;0
84878;2023;3797;193;3;0;1;4;-1;0;0;0;0;58;0;2;0;0;9;0;1;3;2485;14;570;0;0
84911;2023;2162;134;3;2;0;2;1;1;0;0;0;65;0;11;44;28;2;2;0;1;2802;443;118;0;0
84931;2023;2161;134;5;1;0;0;-1;1;0;0;0;62;0;11;14;8;2;0;1;1;3703;271;259;0;0
88006;2023;171;33;1;0;0;2;1;0;0;0;0;61;0;3;0;0;1;0;1;1;1230;58;0;0;0
91054;2023;945;48;6;1;1;2;-1;0;0;0;0;61;0;4;56;29;2;0;1;1;4262;187;0;0;0
91102;2023;629;6;6;0;1;0;-2;0;0;0;0;66;0;10;0;0;9;1;4;18;5591;315;1469;0;0
91766;2023;636;62;7;1;5;6;0;0;4;0;0;69;0;29;0;0;9;5;1;5;6837;1429;52;0;0
92325;2023;1427;247;6;5;4;0;5;2;2;0;0;79;1;19;11;5;7;1;6;12;5663;1439;934;0;0
200;2023;2529;20;5;0;2;0;1;0;0;0;0;67;0;5;70;39;6;2;1;5;4110;0;871;0;0
249;2023;883;4;3;2;0;2;3;0;0;0;0;54;0;4;25;14;1;1;0;1;1202;0;668;0;0
1033;2023;442;46;1;0;0;0;-2;0;0;0;0;44;0;1;0;0;5;0;0;0;940;0;49;0;0
3283;2023;740;9999;5;0;1;2;2;0;0;0;0;59;0;7;0;0;9;4;1;10;5523;322;789;0;0
7609;2023;80;10;1;0;1;0;0;0;1;0;0;76;0;6;0;0;3;1;1;1;725;200;0;0;0
7892;2023;740;9999;5;1;2;2;-5;0;1;0;0;62;0;8;8;2;6;0;4;5;4390;953;0;0;0
8549;2023;4535;22;1;0;0;0;-1;0;0;0;0;62;0;3;9;7;1;0;0;0;720;103;0;0;0
31552;2023;442;46;1;0;0;0;-1;0;0;0;0;54;0;0;0;0;0;0;0;2;1098;0;73;0;0
34884;2023;2529;20;5;0;1;2;-5;0;0;0;0;56;0;6;0;0;7;2;2;11;4233;605;349;0;0
38013;2023;442;46;1;0;0;0;-3;0;0;0;0;41;0;1;0;0;1;0;0;0;859;0;0;0;0
38643;2023;613;16;1;0;1;0;-3;0;0;0;0;49;0;1;0;0;0;0;0;2;955;0;84;0;0
40807;2023;428;46;1;0;0;2;-1;0;0;0;0;61;0;0;0;0;2;0;0;3;865;238;47;0;0
46231;2023;434;46;2;0;0;0;0;0;0;0;0;54;0;0;5;4;1;0;0;0;706;0;0;0;0
46370;2023;846;66;7;0;1;2;0;0;0;0;0;60;0;8;0;0;6;0;0;6;4653;0;1046;0;0
46373;2023;430;46;2;0;0;0;0;0;0;0;0;60;0;4;0;0;0;0;1;0;1182;213;0;0;0
51811;2023;428;46;4;0;1;0;0;0;0;0;0;55;0;3;2;0;4;2;2;4;2463;118;0;0;0
52008;2023;418;46;1;1;0;0;1;0;0;0;0;56;0;1;0;0;2;0;0;0;654;0;0;0;0
59875;2023;151;10;1;0;0;0;0;0;0;0;0;59;0;1;3;1;0;0;0;0;217;115;71;0;0
60415;2023;449;46;2;0;0;2;0;0;0;0;0;56;0;0;8;4;1;0;1;0;946;9;62;0;0
88087;2023;169;33;1;0;0;0;-1;0;0;0;0;44;0;0;0;0;0;0;0;1;944;0;133;0;0
12056;2023;889;48;7;0;2;0;1;0;0;0;0;63;0;6;8;3;10;2;1;3;4889;759;118;0;0
15569;2023;889;48;6;0;2;12;1;0;0;0;0;61;0;9;2;1;3;4;4;2;5017;669;244;0;0
19281;2023;889;48;6;2;0;0;0;0;0;0;0;67;0;10;10;4;5;4;3;0;5655;186;385;0;0
29669;2023;889;48;7;1;0;0;-4;0;0;0;0;65;0;3;0;0;6;2;2;7;6040;247;565;0;0
35588;2023;889;48;7;0;5;2;4;0;0;0;3;73;0;5;0;0;12;2;3;13;6854;158;938;0;0
46963;2023;889;48;4;0;0;0;-3;0;0;0;0;52;0;3;2;0;6;0;0;0;1988;35;37;0;0
48798;2023;889;48;4;0;0;0;-4;0;0;0;0;59;0;4;1;0;3;0;1;3;3092;226;64;0;0
56452;2023;889;48;6;0;0;0;-4;0;0;0;0;56;0;5;50;23;0;1;0;1;4071;731;28;0;0
994;2023;749;9999;5;1;1;0;2;0;0;0;0;70;0;12;64;27;4;1;1;3;3627;408;227;0;0
23924;2023;4924;54;6;0;2;0;-2;0;1;0;0;57;0;7;2;0;1;2;0;2;4035;612;0;0;0
27426;2023;4924;54;2;0;0;2;0;0;0;0;0;57;0;1;6;2;0;1;0;0;1353;59;170;0;0
27426;2023;740;9999;5;2;1;0;-4;1;1;0;0;62;0;15;5;1;2;0;2;2;4244;391;48;0;0
2693;2023;2464;15;3;0;1;0;1;0;0;0;0;60;0;1;1;1;0;1;0;1;1549;0;0;0;0
5856;2023;2464;15;6;0;1;0;-2;0;0;0;0;66;0;8;70;28;7;1;1;7;5579;320;65;0;0
6232;2023;2464;15;6;1;1;2;-1;0;0;0;0;53;0;5;56;34;7;5;0;0;4718;0;870;0;0
6259;2023;2464;15;6;1;0;0;-2;0;0;0;0;59;0;9;6;3;7;1;0;1;4659;474;294;0;0
9104;2023;2464;15;3;1;0;2;1;0;0;0;0;58;0;2;7;6;0;1;0;1;2040;0;291;0;0
14857;2023;2464;15;7;0;1;4;-7;0;0;0;0;50;0;8;4;1;8;2;2;6;6035;0;585;0;0
14926;2023;2464;15;7;0;0;0;-5;0;0;0;0;58;0;8;0;0;7;3;0;7;5358;632;781;0;0
15621;2023;2464;15;7;0;2;2;-5;0;2;0;0;73;0;9;0;0;7;1;1;9;6245;1596;87;0;0
16566;2023;2464;15;7;2;1;2;-2;1;0;0;0;56;0;13;0;0;1;4;0;3;4080;1287;0;0;0
18729;2023;2464;15;7;0;2;2;1;0;0;0;0;58;0;6;4;2;1;0;0;4;4099;68;139;0;0
26692;2023;2464;15;7;0;1;0;-2;0;1;0;0;63;0;11;11;4;9;2;2;8;6143;873;235;0;0
27936;2023;2464;15;7;0;0;2;-7;0;0;0;0;59;0;9;38;20;10;4;5;6;6614;101;1247;0;0
35947;2023;2464;15;6;2;0;2;0;1;0;0;0;62;1;10;3;1;3;6;3;4;4724;558;220;0;0
35948;2023;2464;15;7;0;1;0;2;0;0;0;0;67;0;6;0;0;13;0;5;25;6289;0;1387;0;0
42779;2023;2464;15;6;1;0;4;-7;1;0;0;0;63;0;10;12;3;6;1;5;2;4747;960;312;0;0
42786;2023;2464;15;5;2;1;2;-3;0;0;0;0;64;0;6;5;2;2;0;2;3;4437;380;166;0;0
70585;2023;2464;15;5;0;0;2;-2;0;0;0;0;58;0;10;46;23;4;1;1;3;3368;203;55;0;0
70652;2023;2464;15;7;0;4;4;-5;0;3;0;0;63;0;6;104;48;6;1;1;4;4851;1705;0;0;0
9346;2023;1876;83;4;0;1;2;1;0;0;0;0;60;0;3;0;0;3;0;0;5;1691;103;332;0;0
69;2023;479;83;5;1;0;0;3;0;0;0;0;64;0;7;6;4;2;1;1;7;2738;566;473;0;0
1800;2023;479;83;7;3;5;10;7;0;1;0;1;65;1;12;13;7;13;5;2;4;5623;390;799;0;0
4788;2023;479;83;6;2;1;6;6;0;0;0;0;69;1;8;0;0;4;5;0;10;6005;785;682;0;0
5936;2023;479;83;6;2;2;0;0;0;0;0;0;61;0;11;12;8;11;1;0;1;4583;0;132;0;0
6089;2023;479;83;5;0;1;4;2;0;0;0;0;73;0;8;0;0;3;1;0;7;3056;1308;285;0;0
7447;2023;479;83;7;1;2;7;1;0;0;0;0;71;0;18;0;0;4;2;0;5;6178;1780;315;0;0
8626;2023;479;83;5;0;1;2;1;0;0;0;0;64;0;1;0;0;2;1;2;7;3066;127;788;0;0
10539;2023;479;83;7;0;3;8;1;0;0;0;0;64;0;17;4;2;3;3;1;3;5699;1162;123;0;0
16281;2023;479;83;7;1;5;0;4;0;1;0;0;64;0;12;11;5;3;1;3;6;5334;514;651;0;0
16313;2023;479;83;7;2;2;0;3;0;0;0;0;69;0;11;0;0;9;1;2;14;6169;227;1203;0;0
21761;2023;479;83;7;2;2;2;0;0;0;0;0;64;0;12;17;8;6;3;1;3;5901;732;423;0;0
33656;2023;479;83;7;0;0;2;-1;0;0;0;0;62;0;8;59;28;5;3;1;1;3473;1718;113;0;0
51374;2023;479;83;4;1;3;0;6;0;0;0;0;59;1;5;18;10;3;1;0;2;2368;35;79;0;0
51414;2023;479;83;6;0;1;8;-1;0;0;0;0;59;0;8;0;0;3;1;4;9;5938;193;780;0;0
55160;2023;479;83;7;1;0;16;-1;1;0;0;0;62;0;10;52;26;4;3;3;5;4913;308;216;0;0
8416;2023;1827;62;7;1;1;38;-1;0;0;0;0;68;0;9;0;0;11;1;3;18;7440;189;866;0;0
16291;2023;1827;62;7;2;3;2;2;0;3;0;0;64;0;15;4;1;8;1;4;5;5332;1268;17;0;0
18384;2023;1827;62;3;0;1;0;-3;0;0;0;0;52;0;4;3;0;2;2;1;0;2715;174;63;0;0
18731;2023;1827;62;7;1;4;2;1;0;0;0;0;76;1;6;0;0;18;0;3;20;7076;10;519;0;0
22454;2023;1827;62;7;2;0;0;-2;0;0;0;0;61;0;12;61;25;0;2;0;4;5240;314;596;0;0
43052;2023;1827;62;5;1;1;0;2;0;0;0;0;60;0;13;0;0;11;2;0;2;4903;198;0;0;0
43303;2023;1827;62;7;2;2;2;-1;0;1;0;0;66;0;8;0;0;5;3;5;9;7788;235;342;0;0
50540;2023;1827;62;5;0;1;2;-2;0;0;0;0;63;0;7;17;8;9;0;2;5;3451;473;0;0;0
52634;2023;1827;62;7;0;2;0;-2;0;0;0;0;58;0;15;0;0;2;6;6;3;6812;52;523;0;0
9024;2023;579;128;1;0;0;0;0;0;0;0;0;59;0;3;4;3;2;1;1;0;828;95;125;0;0
11277;2023;579;128;3;0;1;0;1;0;0;0;0;53;0;1;0;0;2;0;0;0;1654;0;68;0;0
29264;2023;579;128;3;1;2;0;-1;1;1;0;0;61;0;4;12;9;3;1;0;1;2581;981;0;0;0
56344;2023;579;128;4;2;3;0;-3;1;2;0;0;64;0;5;32;14;3;0;0;1;1783;580;10;0;0
43894;2023;441;46;1;0;0;0;0;0;0;0;0;55;0;2;4;3;0;0;0;0;340;0;6;0;0
43988;2023;431;46;1;0;0;0;0;0;0;0;0;53;0;0;0;0;1;0;0;0;195;0;0;0;0
62011;2023;432;46;1;0;0;0;1;0;0;0;0;47;0;2;0;0;0;0;0;0;863;50;53;0;0
35378;2023;431;46;3;0;0;0;0;0;0;0;0;62;0;2;0;0;4;0;1;1;2862;88;2;0;0
25;2023;22;0;7;0;4;4;1;0;0;0;0;61;0;7;65;34;2;2;1;2;5360;91;319;0;0
25;2024;22;0;6;2;0;0;-7;0;0;0;0;61;0;7;74;39;9;6;3;1;5177;331;141;0;0
108;2023;24;0;6;3;2;0;6;2;1;0;0;65;0;14;0;0;6;2;7;7;6845;882;310;0;0
108;2024;24;0;6;0;3;4;0;0;0;0;0;53;0;6;0;0;2;1;1;10;5780;71;126;0;0
169;2023;4534;16;7;0;1;6;-1;0;0;0;0;73;0;14;0;0;10;1;3;6;7444;940;720;0;0
184;2023;12;0;5;2;0;0;-7;0;0;0;0;60;1;11;1;1;7;6;1;2;4188;482;0;0;0
244;2024;2493;66;1;0;1;0;-2;0;1;0;0;59;0;4;4;3;3;0;0;0;865;303;0;0;0
244;2024;838;7;5;0;0;6;0;0;0;0;0;59;0;4;17;10;10;2;0;1;3839;482;0;0;0
268;2023;8;0;6;0;2;4;0;0;0;0;0;64;0;6;7;5;19;5;2;3;4113;0;300;0;0
282;2023;23;0;5;1;1;0;-4;0;0;0;0;56;1;6;1;0;7;3;1;1;3096;161;0;0;0
302;2023;28;0;7;2;4;0;7;0;0;0;0;65;1;10;80;49;8;6;6;0;6395;113;838;0;0
302;2024;9;0;7;4;4;0;4;0;1;0;0;64;0;16;78;47;10;5;9;1;6204;411;713;0;0
307;2023;35;0;7;0;1;2;-4;0;1;0;0;57;0;8;0;0;8;0;3;8;6534;171;200;0;0
366;2023;30;0;6;1;1;0;-5;0;1;0;0;60;0;9;7;3;4;6;4;1;4896;579;120;0;0
415;2023;17;0;7;0;2;2;0;0;0;0;0;55;0;6;0;0;7;2;6;9;7158;0;210;0;0
416;2023;25;0;3;0;0;2;-5;0;0;0;0;49;0;5;0;0;2;0;1;4;2726;31;264;0;0
492;2024;545;24;5;1;2;0;0;0;1;0;1;66;1;6;0;0;4;2;2;10;4843;173;398;0;0
492;2023;545;24;7;0;0;0;-3;0;0;0;0;64;0;19;0;0;5;3;5;9;6066;704;582;0;0
548;2023;4182;0;5;2;3;4;2;0;0;0;0;61;0;10;0;0;2;2;3;16;5259;159;259;0;0
548;2024;8;0;7;0;4;0;7;0;0;0;1;61;0;8;0;0;11;2;4;18;7599;169;766;0;0
603;2024;632;6;6;1;1;10;0;1;0;0;0;54;0;8;44;28;11;0;0;0;3667;60;210;0;0
603;2023;629;6;6;0;0;4;-3;0;0;0;0;59;0;8;45;29;8;1;0;0;3414;1190;0;0;0
644;2024;513;5;3;0;0;0;-1;0;0;0;0;52;0;2;4;3;1;0;1;0;999;0;0;0;0
644;2023;513;5;6;1;0;2;2;0;0;0;0;58;0;5;3;3;7;0;1;2;2061;0;107;0;0
654;2023;22;0;7;0;1;2;-5;0;0;0;0;64;0;8;4;0;14;3;5;3;6584;164;212;0;0
654;2024;22;0;6;0;1;0;-4;0;0;0;0;55;0;9;18;7;10;8;0;4;4954;0;533;0;0
703;2024;1869;83;7;3;2;6;3;2;0;1;0;68;0;16;78;39;7;2;2;4;4779;677;720;0;0
703;2023;1854;83;7;4;3;6;-1;2;1;1;0;69;0;14;89;35;6;0;1;10;5131;1255;156;0;0
715;2024;834;7;2;0;0;2;0;0;0;0;0;52;0;0;10;3;1;0;1;1;942;102;53;0;0
715;2023;830;7;3;0;1;0;1;0;0;0;0;63;0;2;22;13;0;0;3;1;1658;0;50;0;0
777;2023;16;0;2;0;0;2;-2;0;0;0;0;52;0;3;0;0;0;2;3;1;1896;17;344;0;0
874;2023;12;0;7;2;1;2;-4;0;0;0;1;57;0;16;0;0;6;1;6;4;7672;16;371;0;0
874;2024;12;0;7;1;1;0;5;0;0;0;0;59;0;9;0;0;1;1;3;5;7516;0;469;0;0
1005;2023;16;0;4;1;0;2;1;0;0;0;0;61;0;4;0;0;4;2;3;12;3616;0;289;0;0
1005;2024;16;0;5;0;1;2;3;0;0;0;0;55;0;11;0;0;6;1;2;8;4645;0;325;0;0
1043;2023;32;0;5;4;0;2;1;0;0;1;0;64;0;8;3;1;12;3;4;0;4067;182;420;0;0
1043;2024;32;0;6;1;2;0;0;0;0;0;0;59;0;11;8;3;6;5;5;1;4468;31;643;0;0
1060;2023;12;0;5;1;1;0;-2;0;0;0;0;60;0;7;1;0;7;0;4;0;2920;0;327;0;0
1069;2023;5;0;5;1;0;4;-2;0;0;0;0;54;0;10;1;0;2;3;2;1;3893;115;0;0;0
1069;2024;5;0;5;2;2;2;-1;0;0;0;0;61;0;8;2;1;7;1;2;0;4328;138;0;0;0
1092;2024;3795;193;5;0;2;4;1;0;0;0;0;62;0;8;0;0;6;1;0;12;4859;8;1500;0;0
1092;2023;739;2;7;1;0;0;0;0;0;0;0;69;1;8;0;0;5;1;4;14;6149;49;1681;0;0
1246;2023;27;0;6;5;3;4;0;0;1;0;0;62;1;20;12;9;10;2;2;2;4989;191;47;0;0
